NAAC,Current course,upskill,course_hs,Shares country_hs,ranking,salary
NO GRADE,BE in others,Managment,others,UK,96,48900
A++,B.Sc,IT,Economics,none,37,53300
B,BE in others,Datascience,Engineering,OTHER ASIAN COUNTRY,127,48800
C,BE in Datascience,Finance,others,OTHER ASIAN COUNTRY,75,50500
D,BCom,Art,Engineering,none,14,56100
B+,BE in Datascience,IT,Management,US,185,46500
B+,PG in Marketing,Managment,others,UK,115,48000
B+,BE in Datascience,Finance,Finance,OTHER EUROPIAN COUNTRY,127,46300
C,BA,IT,others,US,67,55300
C,PG in Marketing,Datascience,Engineering,OTHER EUROPIAN COUNTRY,177,44800
C,BE in Datascience,Managment,Management,GERMANY,101,54400
A++,BA,Art,none,OTHER EUROPIAN COUNTRY,189,38100
A,"BE in cse,electronics,IT,Telecom",Managment,none,AUSTRALIA,172,44300
B,"BE in cse,electronics,IT,Telecom",Finance,none,CANADA,67,48800
A,CA,IT,others,AUSTRALIA,1,62400
NO GRADE,BA,IT,none,CANADA,87,48300
A+,BA,none,none,INDIA,103,45700
C,"BE in cse,electronics,IT,Telecom",Finance,IT,INDIA,47,60800
A++,BCom,Datascience,IT,GERMANY,169,46600
A,CA,Finance,Finance,UK,150,44000
D,CA,IT,Engineering,CANADA,100,51500
B,CA,Art,Management,GERMANY,90,54000
NO GRADE,CA,Art,none,OTHER EUROPIAN COUNTRY,72,49300
A,BE in others,Managment,others,none,176,38400
A++,BCom,Managment,Engineering,OTHER ASIAN COUNTRY,185,41000
A,PG in datascience,none,Engineering,US,23,57700
A,BE in others,IT,Finance,UK,84,50600
B+,BA,Finance,none,OTHER ASIAN COUNTRY,201,35900
A+,CA,none,Engineering,AUSTRALIA,34,57600
C,PG in finance,Art,IT,INDIA,146,51900
B++,PG in Marketing,Managment,none,OTHER EUROPIAN COUNTRY,201,36900
A,BCom,Art,IT,UK,159,45100
NO GRADE,BA,IT,others,none,75,49500
B+,"BE in cse,electronics,IT,Telecom",Art,Finance,OTHER EUROPIAN COUNTRY,57,53300
A,BE in others,Managment,Economics,AUSTRALIA,160,50000
C,"BE in cse,electronics,IT,Telecom",none,Management,AUSTRALIA,167,43300
D,PG in HR,Finance,Engineering,UK,7,63800
NO GRADE,PG in finance,none,others,UK,178,36200
C,CA,Art,IT,AUSTRALIA,64,60600
NO GRADE,PG in datascience,Managment,none,US,68,53700
NO GRADE,CA,none,Economics,OTHER EUROPIAN COUNTRY,172,39800
NO GRADE,B.Sc,IT,Finance,UK,12,55300
A,BA,Managment,Engineering,OTHER ASIAN COUNTRY,144,48100
NO GRADE,PG in datascience,Finance,others,UK,139,44100
B,PG in HR,Finance,Economics,none,65,56000
B+,CA,IT,others,INDIA,133,48700
B+,BE in others,Art,IT,OTHER ASIAN COUNTRY,30,58500
B++,PG in Marketing,Datascience,IT,AUSTRALIA,155,52500
B+,BE in others,Art,Economics,OTHER EUROPIAN COUNTRY,74,53600
A,PG in HR,none,others,UK,82,48800
B+,BA,Finance,IT,US,144,51100
A,BCom,none,none,INDIA,55,47500
B++,BE in Datascience,Datascience,Economics,UK,35,61500
B,BCom,Datascience,Engineering,OTHER EUROPIAN COUNTRY,161,43900
NO GRADE,PG in Marketing,Finance,Engineering,AUSTRALIA,149,50100
A++,B.Sc,Datascience,IT,INDIA,36,60400
B++,BCom,IT,none,UK,84,46600
A++,BE in Datascience,none,IT,AUSTRALIA,83,54700
A++,BA,Datascience,Economics,OTHER EUROPIAN COUNTRY,87,54800
C,PG in Marketing,IT,Management,OTHER EUROPIAN COUNTRY,14,59100
B,BCom,Finance,IT,INDIA,46,58400
C,BE in Datascience,Managment,none,none,29,53600
B++,BE in Datascience,Art,Economics,AUSTRALIA,112,56300
D,BE in Datascience,Datascience,Economics,AUSTRALIA,38,64700
B+,BCom,Finance,Finance,GERMANY,68,51200
A,PG in HR,Finance,Economics,UK,21,62900
B,PG in HR,Managment,none,AUSTRALIA,131,51400
A++,BE in others,none,others,none,122,38300
B,PG in datascience,Managment,Finance,AUSTRALIA,173,46700
C,BA,none,Economics,OTHER ASIAN COUNTRY,115,46000
B++,PG in Marketing,IT,none,AUSTRALIA,126,48400
B+,B.Sc,Datascience,Finance,CANADA,110,45500
A,BA,Finance,Engineering,UK,25,59500
B,PG in HR,Art,Finance,INDIA,66,59400
B,"BE in cse,electronics,IT,Telecom",none,Management,AUSTRALIA,160,44000
A++,BA,Managment,Economics,INDIA,89,58100
D,BA,Finance,Engineering,INDIA,12,63800
A++,PG in datascience,Managment,others,CANADA,147,43800
NO GRADE,CA,Art,Management,UK,1,61400
C,PG in Marketing,Datascience,IT,CANADA,45,59000
A,PG in datascience,Managment,none,none,16,53900
NO GRADE,PG in finance,Managment,others,US,107,51300
D,B.Sc,Datascience,none,OTHER EUROPIAN COUNTRY,184,35600
A+,CA,Datascience,Economics,GERMANY,58,59700
A++,"BE in cse,electronics,IT,Telecom",Art,none,UK,160,41500
A,BA,none,Management,UK,73,49700
D,BE in Datascience,Datascience,Economics,OTHER ASIAN COUNTRY,95,54500
D,PG in HR,Art,Finance,none,153,45200
A,"BE in cse,electronics,IT,Telecom",none,Management,OTHER ASIAN COUNTRY,163,39200
NO GRADE,BA,none,none,none,127,37800
B++,B.Sc,Art,Management,US,168,43700
B,BA,none,IT,OTHER EUROPIAN COUNTRY,149,43100
B++,"BE in cse,electronics,IT,Telecom",Finance,none,GERMANY,96,48400
D,BE in others,Datascience,none,GERMANY,80,51000
A,PG in Marketing,Datascience,Management,CANADA,168,44700
C,BA,Art,Engineering,UK,105,52500
B+,"BE in cse,electronics,IT,Telecom",IT,others,US,6,60900
D,BE in others,Art,Management,none,91,48900
A++,BA,Art,Engineering,AUSTRALIA,200,46500
B+,BE in Datascience,IT,others,OTHER ASIAN COUNTRY,47,54300
B++,PG in datascience,IT,others,AUSTRALIA,72,55300
B,BCom,Datascience,IT,OTHER ASIAN COUNTRY,136,47400
B,PG in datascience,Finance,IT,none,175,42500
A,BCom,Finance,none,UK,49,49100
B+,CA,none,Finance,UK,2,54800
NO GRADE,PG in finance,Finance,Economics,GERMANY,1,63400
A,BA,none,Management,AUSTRALIA,12,59300
A,PG in datascience,IT,Engineering,OTHER ASIAN COUNTRY,132,48300
C,BE in others,none,others,GERMANY,165,38000
A,BE in others,none,none,UK,53,46200
B,B.Sc,Managment,none,CANADA,154,38100
D,PG in HR,Managment,none,US,70,56500
NO GRADE,CA,Datascience,Economics,none,34,58100
D,PG in finance,none,Management,US,160,43000
A,PG in datascience,Finance,Engineering,CANADA,7,59800
A++,PG in Marketing,IT,others,GERMANY,104,50100
NO GRADE,PG in Marketing,none,others,GERMANY,47,50800
A++,PG in Marketing,Finance,Engineering,OTHER ASIAN COUNTRY,126,47900
A++,BA,Datascience,Management,GERMANY,177,46800
D,BE in Datascience,Managment,IT,INDIA,148,53200
NO GRADE,BA,Art,IT,US,74,59100
B+,BCom,Managment,Finance,OTHER EUROPIAN COUNTRY,143,42700
NO GRADE,BCom,Managment,IT,AUSTRALIA,164,48600
C,PG in finance,Datascience,Economics,AUSTRALIA,67,60800
A++,B.Sc,Art,IT,US,42,58300
B+,BA,Art,others,CANADA,45,54000
A,PG in datascience,IT,Management,GERMANY,186,44400
A,PG in HR,Finance,none,OTHER ASIAN COUNTRY,201,38400
A,PG in Marketing,IT,Economics,AUSTRALIA,159,50600
B,CA,none,Finance,UK,166,38400
A,PG in HR,Finance,none,UK,180,41500
C,BCom,Datascience,Finance,CANADA,16,55900
NO GRADE,CA,Finance,Management,GERMANY,176,44400
A,CA,IT,IT,OTHER ASIAN COUNTRY,36,58900
A+,BCom,Finance,Management,OTHER ASIAN COUNTRY,181,38900
C,PG in HR,none,IT,none,147,44300
A,PG in HR,Datascience,Finance,none,116,49900
NO GRADE,BE in Datascience,IT,Economics,OTHER EUROPIAN COUNTRY,136,49400
B,"BE in cse,electronics,IT,Telecom",none,others,CANADA,107,42300
B++,CA,Finance,IT,OTHER ASIAN COUNTRY,88,52700
A,B.Sc,Managment,none,US,113,45700
A++,BE in Datascience,IT,Economics,OTHER EUROPIAN COUNTRY,6,62400
A++,CA,Datascience,Management,none,128,47200
B++,B.Sc,IT,Engineering,CANADA,100,48000
A,B.Sc,IT,Management,OTHER EUROPIAN COUNTRY,107,46300
C,PG in finance,Managment,others,AUSTRALIA,149,48100
A,PG in HR,none,Economics,US,155,48000
B,CA,Finance,IT,UK,88,53700
A,BCom,Managment,Economics,US,121,51400
NO GRADE,BE in Datascience,none,Finance,GERMANY,27,54800
NO GRADE,BCom,IT,Economics,US,126,50400
D,"BE in cse,electronics,IT,Telecom",none,Engineering,INDIA,10,59500
B++,CA,Art,Economics,UK,193,43700
B++,PG in HR,none,Management,UK,19,57600
B++,PG in finance,none,none,CANADA,61,45400
A+,B.Sc,none,Engineering,US,12,55300
NO GRADE,PG in Marketing,none,none,OTHER ASIAN COUNTRY,93,42200
A++,BE in others,Art,Economics,CANADA,61,54900
B++,"BE in cse,electronics,IT,Telecom",Datascience,Management,INDIA,105,55000
B++,CA,Managment,none,US,143,46200
A++,BE in others,Datascience,Finance,OTHER ASIAN COUNTRY,142,44800
NO GRADE,"BE in cse,electronics,IT,Telecom",Managment,Finance,OTHER EUROPIAN COUNTRY,63,53200
C,B.Sc,Art,Engineering,GERMANY,130,47500
B++,"BE in cse,electronics,IT,Telecom",Art,Management,OTHER EUROPIAN COUNTRY,79,52600
D,BCom,Art,others,GERMANY,149,43100
B+,"BE in cse,electronics,IT,Telecom",Managment,Engineering,CANADA,86,53400
B+,PG in finance,Managment,others,US,91,52900
A,PG in Marketing,none,none,CANADA,168,34700
D,"BE in cse,electronics,IT,Telecom",Datascience,Management,UK,201,42400
B,"BE in cse,electronics,IT,Telecom",Art,Finance,CANADA,39,55100
C,PG in Marketing,IT,Economics,CANADA,182,43800
B+,BA,Art,IT,none,102,51300
B++,PG in HR,none,others,CANADA,167,39300
B++,BA,Datascience,Economics,CANADA,182,45300
C,BE in Datascience,Finance,Economics,CANADA,113,50700
C,"BE in cse,electronics,IT,Telecom",Managment,Finance,none,120,46000
A,PG in datascience,Datascience,IT,INDIA,7,66800
A,CA,Managment,IT,OTHER ASIAN COUNTRY,87,54300
A++,BA,IT,Economics,AUSTRALIA,140,53000
A++,BA,Finance,others,INDIA,100,51500
D,B.Sc,none,IT,OTHER ASIAN COUNTRY,61,47900
A+,B.Sc,none,IT,UK,183,36700
B+,B.Sc,Managment,Finance,US,169,42600
C,BE in others,none,Finance,AUSTRALIA,121,45400
B+,PG in datascience,IT,Engineering,OTHER ASIAN COUNTRY,51,56400
C,CA,IT,Finance,GERMANY,11,60400
A++,BA,IT,Engineering,GERMANY,31,61400
B++,BCom,Datascience,Management,OTHER ASIAN COUNTRY,49,54100
B+,B.Sc,IT,Engineering,INDIA,101,51900
B,CA,Finance,none,CANADA,88,46700
A,BCom,Art,Engineering,OTHER ASIAN COUNTRY,140,45000
C,B.Sc,Datascience,none,AUSTRALIA,100,48500
B,PG in finance,Art,Finance,AUSTRALIA,126,50900
C,PG in finance,IT,Economics,CANADA,38,58200
A+,BE in Datascience,Datascience,IT,US,159,52100
B+,PG in finance,Finance,others,US,124,48100
B,"BE in cse,electronics,IT,Telecom",IT,IT,AUSTRALIA,27,64300
D,BA,none,Engineering,CANADA,139,43100
C,BA,Finance,none,AUSTRALIA,168,43700
A,B.Sc,Art,IT,AUSTRALIA,33,60200
B++,BCom,Finance,Finance,INDIA,68,52700
A++,CA,IT,Finance,CANADA,41,54900
D,BA,Managment,Management,AUSTRALIA,68,59200
A+,"BE in cse,electronics,IT,Telecom",Datascience,IT,US,148,52200
A,BCom,none,none,OTHER EUROPIAN COUNTRY,157,33300
B++,PG in datascience,Datascience,Economics,OTHER ASIAN COUNTRY,35,59500
C,CA,Finance,IT,UK,67,55800
NO GRADE,"BE in cse,electronics,IT,Telecom",Art,none,UK,53,52200
B+,PG in datascience,Datascience,Finance,US,149,48600
C,CA,Art,others,INDIA,49,57100
NO GRADE,CA,Datascience,Engineering,none,103,50700
C,PG in finance,IT,Engineering,OTHER ASIAN COUNTRY,75,54000
B+,PG in HR,Art,Engineering,GERMANY,51,61900
B+,B.Sc,Datascience,Economics,OTHER ASIAN COUNTRY,160,43500
C,PG in Marketing,Art,Economics,GERMANY,50,59500
A,PG in datascience,Managment,Management,UK,123,49700
A,PG in HR,IT,others,US,158,48700
D,BA,Art,IT,OTHER EUROPIAN COUNTRY,73,55700
B++,BE in others,none,Management,OTHER EUROPIAN COUNTRY,50,49500
B+,"BE in cse,electronics,IT,Telecom",IT,IT,AUSTRALIA,197,47300
B,CA,Finance,Finance,OTHER ASIAN COUNTRY,44,53600
A+,PG in finance,Datascience,Finance,CANADA,178,42200
D,PG in finance,none,Management,US,140,45000
B+,CA,none,IT,CANADA,58,51700
B++,PG in datascience,Finance,Economics,OTHER EUROPIAN COUNTRY,132,47800
NO GRADE,BA,none,Finance,UK,80,47500
B++,BE in Datascience,Finance,IT,none,72,53800
C,CA,Managment,Engineering,OTHER EUROPIAN COUNTRY,129,49100
A++,CA,none,Engineering,INDIA,173,43200
C,BE in Datascience,Finance,IT,UK,187,44800
D,CA,Art,Finance,OTHER EUROPIAN COUNTRY,18,57200
B,BCom,IT,Finance,OTHER EUROPIAN COUNTRY,118,44700
A++,BE in others,Art,others,INDIA,61,54900
D,PG in finance,IT,Economics,AUSTRALIA,109,55600
B++,BE in others,Finance,Economics,UK,106,50400
B++,PG in datascience,Finance,Management,none,173,40700
A+,PG in Marketing,Art,Engineering,INDIA,56,59900
A++,BCom,Datascience,Finance,none,103,45700
B,BCom,IT,others,UK,170,39500
A,BE in others,Datascience,Management,AUSTRALIA,51,59900
NO GRADE,BCom,Managment,IT,UK,183,43200
A,"BE in cse,electronics,IT,Telecom",Art,Engineering,GERMANY,70,57000
D,PG in datascience,Finance,others,UK,56,52400
B+,PG in datascience,Datascience,others,UK,6,59400
B+,PG in finance,Art,IT,INDIA,30,63500
D,BCom,Managment,Economics,UK,47,56300
A+,BCom,Finance,Finance,GERMANY,97,48300
B+,PG in datascience,Datascience,none,US,105,50500
B,CA,Art,Management,none,92,49800
B+,PG in Marketing,Finance,IT,UK,65,56000
B,CA,Finance,IT,OTHER ASIAN COUNTRY,91,52400
A++,CA,none,Economics,UK,59,52100
B++,BE in others,none,Management,OTHER EUROPIAN COUNTRY,89,45600
NO GRADE,BE in others,none,Management,OTHER ASIAN COUNTRY,185,36000
A+,BCom,Finance,none,AUSTRALIA,101,47400
B++,CA,Finance,Management,CANADA,137,45800
A+,BE in others,Finance,Finance,OTHER ASIAN COUNTRY,25,54500
A+,BE in Datascience,IT,Finance,AUSTRALIA,124,52100
B+,PG in Marketing,Managment,others,US,6,61400
NO GRADE,B.Sc,none,Management,CANADA,19,50100
B,PG in datascience,Datascience,Finance,none,128,45700
D,CA,Datascience,Finance,AUSTRALIA,104,54100
B+,PG in datascience,none,Management,AUSTRALIA,188,41200
A++,BE in Datascience,none,others,INDIA,160,42000
A++,PG in HR,Datascience,none,OTHER EUROPIAN COUNTRY,67,53800
B+,PG in finance,none,IT,none,5,55500
B++,PG in Marketing,Finance,none,OTHER ASIAN COUNTRY,97,45800
B,BA,Managment,IT,US,100,57000
C,BE in others,IT,none,OTHER EUROPIAN COUNTRY,3,55200
D,"BE in cse,electronics,IT,Telecom",Finance,Economics,AUSTRALIA,129,52600
A++,BE in Datascience,Datascience,Management,GERMANY,194,45600
D,PG in Marketing,none,none,GERMANY,56,48400
B+,PG in finance,none,none,GERMANY,2,53800
B++,BCom,none,Finance,none,83,41700
B++,PG in datascience,Art,Finance,AUSTRALIA,46,58900
B,PG in datascience,Finance,Economics,US,9,63600
B++,BCom,IT,Finance,UK,170,40500
C,PG in datascience,IT,none,UK,24,55100
D,BE in others,none,others,AUSTRALIA,153,41200
B+,PG in Marketing,none,others,CANADA,56,47400
A+,CA,none,Management,OTHER ASIAN COUNTRY,67,48800
D,BE in others,Art,Management,UK,42,56300
A++,BE in others,Datascience,none,UK,179,39600
B,BE in Datascience,none,Management,AUSTRALIA,6,60400
A+,"BE in cse,electronics,IT,Telecom",Finance,Economics,CANADA,3,60700
B+,BA,Finance,Economics,GERMANY,60,58000
A,BE in Datascience,Finance,others,OTHER EUROPIAN COUNTRY,44,53600
B,PG in HR,Finance,Management,INDIA,80,58500
A,BCom,Managment,Management,INDIA,98,52700
D,PG in datascience,Finance,IT,CANADA,176,43900
B+,BCom,Datascience,others,none,172,37800
C,BCom,Datascience,Economics,UK,155,46000
NO GRADE,B.Sc,Art,none,none,90,42500
A++,"BE in cse,electronics,IT,Telecom",Art,Management,OTHER ASIAN COUNTRY,77,52800
B,"BE in cse,electronics,IT,Telecom",none,Management,AUSTRALIA,150,45000
B,B.Sc,IT,Management,AUSTRALIA,182,43300
C,"BE in cse,electronics,IT,Telecom",IT,Management,US,32,60800
NO GRADE,B.Sc,none,none,UK,9,48100
A++,BA,Art,Finance,OTHER ASIAN COUNTRY,89,50600
C,"BE in cse,electronics,IT,Telecom",Art,Engineering,none,45,55500
B++,BE in others,Managment,Management,none,125,46000
NO GRADE,BE in others,Finance,none,US,75,50500
B+,PG in HR,Datascience,IT,AUSTRALIA,175,53500
C,"BE in cse,electronics,IT,Telecom",Datascience,Economics,US,36,62900
B+,PG in HR,IT,Economics,UK,183,47700
B,PG in HR,IT,none,GERMANY,49,57100
B++,BE in others,Art,none,US,104,48600
A++,BA,Art,Management,AUSTRALIA,91,56400
C,PG in Marketing,Art,Engineering,UK,131,49400
A,B.Sc,Finance,Finance,UK,84,47100
B+,B.Sc,Datascience,Economics,INDIA,111,52400
C,PG in Marketing,Managment,Engineering,OTHER ASIAN COUNTRY,7,61300
A,CA,none,Economics,UK,187,39300
A,BE in others,Finance,others,INDIA,149,45100
A++,PG in finance,IT,Finance,US,94,53100
A+,BE in Datascience,Datascience,IT,INDIA,126,55900
A++,PG in HR,Finance,none,none,81,48900
A+,PG in finance,IT,Finance,OTHER EUROPIAN COUNTRY,175,41500
B++,"BE in cse,electronics,IT,Telecom",Datascience,others,none,87,48800
NO GRADE,BCom,Managment,none,AUSTRALIA,172,41800
C,B.Sc,IT,Economics,OTHER ASIAN COUNTRY,74,51100
A++,BA,IT,Management,OTHER EUROPIAN COUNTRY,14,59600
D,PG in Marketing,none,Economics,OTHER EUROPIAN COUNTRY,63,50700
A+,PG in HR,IT,IT,OTHER ASIAN COUNTRY,93,56200
B++,BE in others,Finance,others,OTHER ASIAN COUNTRY,110,45000
C,BE in others,none,none,US,114,42600
B,BE in others,Finance,Economics,INDIA,77,56300
D,PG in HR,Finance,Economics,OTHER EUROPIAN COUNTRY,188,45200
C,PG in Marketing,IT,Engineering,AUSTRALIA,35,62500
D,BE in others,Art,IT,UK,23,60200
A,PG in HR,Managment,Engineering,UK,96,56400
A+,B.Sc,Datascience,Finance,GERMANY,65,52500
B++,PG in Marketing,none,Finance,OTHER ASIAN COUNTRY,161,37900
C,PG in datascience,none,IT,UK,59,52600
D,PG in finance,Datascience,IT,UK,40,60500
A,PG in finance,Datascience,others,GERMANY,148,46700
NO GRADE,PG in HR,Art,Management,CANADA,137,49800
C,PG in datascience,Finance,Engineering,CANADA,104,50100
B+,CA,IT,others,INDIA,122,49800
B,PG in finance,Datascience,others,OTHER EUROPIAN COUNTRY,35,55500
A+,PG in HR,Art,Management,US,10,66000
A,BCom,Managment,Management,GERMANY,137,47300
B++,BA,IT,IT,INDIA,179,49100
C,PG in datascience,Art,Engineering,GERMANY,109,53100
B++,PG in HR,IT,Finance,UK,4,62600
D,PG in Marketing,Art,others,none,32,53300
A+,BCom,IT,Management,CANADA,90,49000
A+,BE in Datascience,Art,Management,GERMANY,130,51000
NO GRADE,PG in HR,Art,Management,OTHER EUROPIAN COUNTRY,78,55700
C,"BE in cse,electronics,IT,Telecom",none,Economics,UK,28,55200
NO GRADE,B.Sc,IT,Engineering,AUSTRALIA,4,62100
NO GRADE,PG in HR,Datascience,others,OTHER EUROPIAN COUNTRY,184,43600
B+,BCom,none,Engineering,OTHER ASIAN COUNTRY,175,36500
B++,PG in datascience,Finance,none,AUSTRALIA,198,40200
NO GRADE,BCom,Managment,none,AUSTRALIA,25,56500
D,CA,Datascience,Management,OTHER ASIAN COUNTRY,133,48200
B++,PG in Marketing,IT,Management,US,86,55400
B++,PG in finance,Datascience,none,CANADA,33,54200
D,BE in others,Finance,Economics,CANADA,174,42600
A+,PG in Marketing,Managment,Economics,CANADA,10,61500
A+,B.Sc,Datascience,none,US,85,49000
B,PG in HR,none,Economics,GERMANY,11,61400
A+,"BE in cse,electronics,IT,Telecom",Art,IT,GERMANY,7,64300
D,B.Sc,Datascience,others,none,197,34300
B++,PG in finance,Art,Finance,UK,179,42100
B,CA,IT,none,US,44,55600
A+,PG in HR,none,IT,INDIA,98,54700
D,B.Sc,Art,Management,OTHER EUROPIAN COUNTRY,72,49800
A+,PG in Marketing,IT,others,GERMANY,181,42400
D,B.Sc,IT,Engineering,INDIA,144,47600
D,PG in Marketing,Managment,Economics,OTHER ASIAN COUNTRY,124,50100
A+,PG in HR,IT,Management,none,158,46200
A+,BE in others,IT,Engineering,OTHER EUROPIAN COUNTRY,166,43900
A,CA,Datascience,Economics,GERMANY,25,63000
C,BE in others,Finance,IT,US,186,45400
A,B.Sc,Managment,Finance,CANADA,9,55100
B,CA,IT,Management,CANADA,4,60100
A,PG in finance,Datascience,IT,OTHER ASIAN COUNTRY,27,60800
A+,BE in others,Managment,none,OTHER ASIAN COUNTRY,110,45000
A,PG in Marketing,Datascience,Economics,GERMANY,121,53400
B,BA,Art,Economics,OTHER ASIAN COUNTRY,180,44500
A+,PG in Marketing,Art,Economics,OTHER ASIAN COUNTRY,27,59300
B+,PG in finance,none,Management,CANADA,117,43800
A++,BE in Datascience,Art,Management,US,143,50700
D,BCom,IT,IT,OTHER EUROPIAN COUNTRY,100,50000
NO GRADE,PG in finance,Managment,Management,UK,145,47500
B++,PG in HR,IT,Finance,GERMANY,118,52700
A+,PG in datascience,Managment,others,UK,91,50400
B++,BE in Datascience,Art,Management,CANADA,139,47600
NO GRADE,CA,Managment,none,INDIA,159,45100
B,PG in datascience,IT,none,CANADA,30,53500
C,BE in Datascience,none,Engineering,INDIA,113,50200
B++,PG in HR,none,IT,OTHER EUROPIAN COUNTRY,91,51400
D,PG in datascience,none,Finance,none,3,52200
B+,BE in others,Finance,Economics,OTHER ASIAN COUNTRY,65,53500
B++,PG in Marketing,Finance,Engineering,OTHER EUROPIAN COUNTRY,138,46700
B+,BA,Managment,Economics,CANADA,106,52400
A++,PG in datascience,Managment,others,OTHER EUROPIAN COUNTRY,71,51400
A+,CA,none,none,CANADA,80,43500
B+,B.Sc,IT,Management,AUSTRALIA,70,54500
B++,PG in finance,Finance,others,US,184,42100
A+,BE in Datascience,IT,Economics,GERMANY,156,49900
D,PG in finance,none,Economics,UK,199,38100
A+,PG in datascience,IT,Economics,UK,65,56500
A,PG in Marketing,IT,none,UK,59,51600
A++,CA,Finance,Engineering,none,36,55400
B++,PG in Marketing,Datascience,Economics,OTHER EUROPIAN COUNTRY,145,48500
B++,BA,Managment,Engineering,UK,116,51900
NO GRADE,PG in datascience,Art,others,US,10,60500
D,CA,Finance,Engineering,US,201,43900
A++,CA,Managment,Economics,INDIA,21,64400
D,BE in Datascience,Managment,Finance,none,10,58000
C,PG in finance,Finance,Economics,UK,138,48200
B+,PG in Marketing,Finance,others,none,156,39900
B,PG in Marketing,Art,IT,GERMANY,3,64700
D,PG in datascience,none,Management,none,133,40700
C,CA,Finance,Management,AUSTRALIA,11,62900
A,BE in others,Managment,Management,US,86,54900
A++,B.Sc,IT,others,CANADA,111,43400
A,PG in HR,none,IT,US,9,63100
C,PG in finance,none,others,GERMANY,15,54000
A+,"BE in cse,electronics,IT,Telecom",Datascience,Finance,US,53,58200
C,BE in Datascience,Art,none,UK,73,51200
B+,BCom,Datascience,Engineering,CANADA,119,48100
A+,BE in Datascience,none,Engineering,none,17,54300
B++,PG in datascience,none,others,UK,136,40400
NO GRADE,PG in Marketing,Managment,IT,GERMANY,16,63900
B+,BCom,Datascience,Management,GERMANY,55,56000
B++,PG in datascience,Art,Economics,US,163,49200
A++,BA,none,Economics,INDIA,156,45900
A+,B.Sc,IT,Finance,INDIA,59,53600
A++,PG in finance,Finance,Economics,INDIA,2,64800
B,PG in HR,Finance,others,CANADA,51,54900
C,"BE in cse,electronics,IT,Telecom",Datascience,Finance,GERMANY,129,49600
B++,BA,IT,others,none,134,43600
B,BE in Datascience,IT,others,CANADA,145,44500
A++,BE in Datascience,Finance,Management,AUSTRALIA,27,62300
B+,BE in Datascience,Datascience,Economics,OTHER EUROPIAN COUNTRY,150,49000
NO GRADE,B.Sc,Managment,Management,OTHER ASIAN COUNTRY,13,56200
D,PG in finance,Datascience,Management,OTHER EUROPIAN COUNTRY,63,55200
A++,"BE in cse,electronics,IT,Telecom",Datascience,IT,UK,66,57900
B+,BCom,Finance,Management,OTHER EUROPIAN COUNTRY,181,38900
A++,PG in HR,Finance,Engineering,OTHER ASIAN COUNTRY,124,51100
B+,CA,none,others,OTHER EUROPIAN COUNTRY,183,34700
D,PG in finance,IT,none,US,192,40800
A+,BE in Datascience,Datascience,Economics,US,71,60400
A,PG in HR,none,none,OTHER ASIAN COUNTRY,104,44100
B+,PG in Marketing,none,IT,CANADA,100,47500
A++,BA,Finance,Finance,OTHER ASIAN COUNTRY,157,42800
D,PG in datascience,none,none,US,116,43400
B+,PG in datascience,Art,IT,GERMANY,190,46000
D,BE in others,Art,Economics,US,158,48700
A++,BCom,Managment,Economics,OTHER EUROPIAN COUNTRY,165,43500
A,PG in datascience,Art,Management,none,55,53500
A++,PG in HR,Managment,Management,OTHER EUROPIAN COUNTRY,65,57500
B++,PG in HR,none,none,AUSTRALIA,181,40900
D,B.Sc,none,none,OTHER EUROPIAN COUNTRY,176,30400
NO GRADE,BCom,Finance,Finance,GERMANY,139,44100
A,BA,Datascience,Finance,OTHER EUROPIAN COUNTRY,84,52100
C,BE in Datascience,Art,Economics,GERMANY,51,60400
NO GRADE,PG in Marketing,Datascience,IT,UK,154,49100
D,"BE in cse,electronics,IT,Telecom",none,IT,GERMANY,52,54800
B+,"BE in cse,electronics,IT,Telecom",IT,IT,UK,176,45900
B+,PG in finance,Finance,none,UK,116,44900
A++,CA,none,Finance,US,41,53400
C,BCom,Datascience,Engineering,OTHER ASIAN COUNTRY,186,41400
B+,"BE in cse,electronics,IT,Telecom",Art,Finance,UK,37,56300
A+,BE in Datascience,Finance,none,OTHER ASIAN COUNTRY,77,48800
A++,B.Sc,IT,IT,US,114,51100
B,BE in others,Datascience,Management,AUSTRALIA,36,61400
A++,BA,IT,Management,INDIA,12,63800
C,B.Sc,Art,Management,GERMANY,53,54200
B++,BA,Datascience,Management,CANADA,70,55000
B+,PG in Marketing,Datascience,IT,US,166,50400
C,PG in HR,none,others,OTHER EUROPIAN COUNTRY,31,52900
D,BCom,none,others,CANADA,22,48300
A+,BCom,Managment,Engineering,GERMANY,80,54000
B++,BE in Datascience,IT,others,US,17,60800
C,PG in Marketing,Art,Engineering,OTHER ASIAN COUNTRY,170,44500
B,CA,Finance,Engineering,GERMANY,128,50200
NO GRADE,PG in HR,Managment,Engineering,INDIA,38,65200
B,PG in datascience,Finance,others,none,59,49600
B+,PG in HR,Datascience,none,none,155,43500
B++,BE in others,IT,Finance,CANADA,68,51200
B++,PG in finance,Managment,others,AUSTRALIA,169,46100
B+,B.Sc,Finance,Engineering,OTHER EUROPIAN COUNTRY,162,40800
B+,"BE in cse,electronics,IT,Telecom",Art,Finance,US,194,43100
C,BCom,Finance,others,OTHER EUROPIAN COUNTRY,95,45000
